from_city,to_city,distance_km
Akure,Ado Ekiti,50
Asaba,Ado Ekiti,368
Awka,Ado Ekiti,412
Bauchi,Ado Ekiti,945
Benin City,Ado Ekiti,228
Birnin Kebbi,Ado Ekiti,634
Calabar,Ado Ekiti,579
Damaturu,Ado Ekiti,1207
Dutse,Ado Ekiti,1130
Enugu,Ado Ekiti,482
Gombe,Ado Ekiti,1124
Gusau,Ado Ekiti,1021
Ibadan,Ado Ekiti,254
Lagos,Ado Ekiti,401
Ilorin,Ado Ekiti,164
Jalingo,Ado Ekiti,940
Jos,Ado Ekiti,940
Kaduna,Ado Ekiti,761
Kano,Ado Ekiti,1010
Katsina,Ado Ekiti,1071
Lafia,Ado Ekiti,640
Lokoja,Ado Ekiti,296
Maiduguri,Ado Ekiti,536
Makurdi,Ado Ekiti,640
Minna,Ado Ekiti,596
Osogbo,Ado Ekiti,178
Owerri,Ado Ekiti,473
Port Harcourt,Ado Ekiti,584
Sokoto,Ado Ekiti,894
Umuahia,Ado Ekiti,510
Uyo,Ado Ekiti,605
Yenagoa,Ado Ekiti,438
Yola,Ado Ekiti,1236
Asaba,Akure,310
Awka,Akure,342
Bauchi,Akure,885
Benin City,Akure,165
Birnin Kebbi,Akure,711
Calabar,Akure,619
Damaturu,Akure,1147
Dutse,Akure,1070
Enugu,Akure,422
Gombe,Akure,1255
Gusau,Akure,1057
Ibadan,Akure,204
Lagos,Akure,341
Ilorin,Akure,199
Jalingo,Akure,880
Jos,Akure,682
Kaduna,Akure,749
Kano,Akure,1048
Katsina,Akure,1108
Lafia,Akure,600
Lokoja,Akure,236
Maiduguri,Akure,1279
Makurdi,Akure,580
Minna,Akure,632
Osogbo,Akure,118
Owerri,Akure,413
Port Harcourt,Akure,524
Sokoto,Akure,930
Umuahia,Akure,430
Uyo,Akure,545
Yenagoa,Akure,378
Yola,Akure,1165
Awka,Asaba,44
Bauchi,Asaba,624
Benin City,Asaba,133
Birnin Kebbi,Asaba,1027
Calabar,Asaba,297
Damaturu,Asaba,1135
Dutse,Asaba,1080
Enugu,Asaba,109
Gombe,Asaba,979
Gusau,Asaba,1005
Ibadan,Asaba,430
Lagos,Asaba,467
Ilorin,Asaba,507
Jalingo,Asaba,859
Jos,Asaba,692
Kaduna,Asaba,745
Kano,Asaba,1007
Katsina,Asaba,1098
Lafia,Asaba,435
Lokoja,Asaba,362
Maiduguri,Asaba,1288
Makurdi,Asaba,353
Minna,Asaba,673
Osogbo,Asaba,396
Owerri,Asaba,97
Port Harcourt,Asaba,225
Sokoto,Asaba,1232
Umuahia,Asaba,166
Uyo,Asaba,247
Yenagoa,Asaba,213
Yola,Asaba,960
Bauchi,Awka,803
Benin City,Awka,166
Birnin Kebbi,Awka,1245
Calabar,Awka,259
Damaturu,Awka,1115
Dutse,Awka,976
Enugu,Awka,62
Gombe,Awka,958
Gusau,Awka,984
Ibadan,Awka,457
Lagos,Awka,494
Ilorin,Awka,528
Jalingo,Awka,815
Jos,Awka,671
Kaduna,Awka,724
Kano,Awka,988
Katsina,Awka,1077
Lafia,Awka,416
Lokoja,Awka,456
Maiduguri,Awka,1245
Makurdi,Awka,332
Minna,Awka,926
Osogbo,Awka,425
Owerri,Awka,141
Port Harcourt,Awka,255
Sokoto,Awka,1211
Umuahia,Awka,126
Uyo,Awka,207
Yenagoa,Awka,257
Yola,Awka,746
Benin City,Bauchi,850
Birnin Kebbi,Bauchi,962
Calabar,Bauchi,1002
Damaturu,Bauchi,312
Dutse,Bauchi,313
Enugu,Bauchi,740
Gombe,Bauchi,155
Gusau,Bauchi,670
Ibadan,Bauchi,1053
Lagos,Bauchi,1202
Ilorin,Bauchi,909
Jalingo,Bauchi,610
Jos,Bauchi,180
Kaduna,Bauchi,410
Kano,Bauchi,301
Katsina,Bauchi,518
Lafia,Bauchi,326
Lokoja,Bauchi,601
Maiduguri,Bauchi,462
Makurdi,Bauchi,469
Minna,Bauchi,590
Osogbo,Bauchi,908
Owerri,Bauchi,879
Port Harcourt,Bauchi,970
Sokoto,Bauchi,777
Umuahia,Bauchi,660
Uyo,Bauchi,943
Yenagoa,Bauchi,995
Yola,Bauchi,416
Birnin Kebbi,Benin City,862
Calabar,Benin City,490
Damaturu,Benin City,1274
Dutse,Benin City,880
Enugu,Benin City,254
Gombe,Benin City,1044
Gusau,Benin City,1046
Ibadan,Benin City,300
Lagos,Benin City,322
Ilorin,Benin City,399
Jalingo,Benin City,998
Jos,Benin City,758
Kaduna,Benin City,785
Kano,Benin City,1049
Katsina,Benin City,1252
Lafia,Benin City,673
Lokoja,Benin City,287
Maiduguri,Benin City,1353
Makurdi,Benin City,506
Minna,Benin City,608
Osogbo,Benin City,259
Owerri,Benin City,240
Port Harcourt,Benin City,296
Sokoto,Benin City,1020
Umuahia,Benin City,279
Uyo,Benin City,375
Yenagoa,Benin City,210
Yola,Benin City,1107
Calabar,Birnin Kebbi,1318
Damaturu,Birnin Kebbi,1181
Dutse,Birnin Kebbi,660
Enugu,Birnin Kebbi,1120
Gombe,Birnin Kebbi,1117
Gusau,Birnin Kebbi,322
Ibadan,Birnin Kebbi,679
Lagos,Birnin Kebbi,826
Ilorin,Birnin Kebbi,520
Jalingo,Birnin Kebbi,1266
Jos,Birnin Kebbi,830
Kaduna,Birnin Kebbi,550
Kano,Birnin Kebbi,651
Katsina,Birnin Kebbi,596
Lafia,Birnin Kebbi,753
Lokoja,Birnin Kebbi,832
Maiduguri,Birnin Kebbi,1404
Makurdi,Birnin Kebbi,898
Minna,Birnin Kebbi,456
Osogbo,Birnin Kebbi,635
Owerri,Birnin Kebbi,1124
Port Harcourt,Birnin Kebbi,1282
Sokoto,Birnin Kebbi,168
Umuahia,Birnin Kebbi,1272
Uyo,Birnin Kebbi,1353
Yenagoa,Birnin Kebbi,1092
Yola,Birnin Kebbi,1408
Damaturu,Calabar,988
Dutse,Calabar,1050
Enugu,Calabar,276
Gombe,Calabar,1152
Gusau,Calabar,1309
Ibadan,Calabar,518
Lagos,Calabar,772
Ilorin,Calabar,849
Jalingo,Calabar,624
Jos,Calabar,370
Kaduna,Calabar,1034
Kano,Calabar,1296
Katsina,Calabar,1464
Lafia,Calabar,514
Lokoja,Calabar,579
Maiduguri,Calabar,1465
Makurdi,Calabar,532
Minna,Calabar,860
Osogbo,Calabar,695
Owerri,Calabar,200
Port Harcourt,Calabar,196
Sokoto,Calabar,1535
Umuahia,Calabar,151
Uyo,Calabar,67
Yenagoa,Calabar,300
Yola,Calabar,1132
Dutse,Damaturu,288
Enugu,Damaturu,1099
Gombe,Damaturu,256
Gusau,Damaturu,710
Ibadan,Damaturu,1274
Lagos,Damaturu,1421
Ilorin,Damaturu,1292
Jalingo,Damaturu,364
Jos,Damaturu,444
Kaduna,Damaturu,724
Kano,Damaturu,430
